,id,delay_cost,vehicle_hours_of_delay
260,GWI_GA-141,9017204.91,215526.7
261,GWI_GA-20 N,19238116.05,459824.0
262,GWI_GA-20 S,10652536.27,254613.9
263,GWI_GA-316,23878791.98,570744.1
264,GWI_GA-317,5792233.51,138444.3
265,GWI_GA-378,2422002.78,57890.0
266,GWI_GA-8,2994458.8,71572.7
267,GWI_I-20,49181772.57,1175528.8
268,GWI_I-85,112044079.98,2678045.8
269,GWI_I-85 MAG,4241536.38,101380.0
270,GWI_I-85 N,33077244.53,790602.9
271,GWI_I-85 N MAG,4111173.0,98264.1
272,GWI_I-985,3488274.41,83375.7
273,GWI_McGINNIS,7431710.42,177630.6
274,GWI_PEACHTREE IND N,1865300.56,44583.9
275,GWI_PEACHTREE IND S,4470483.26,106852.2
276,GWI_RONALD REAGAN,2176463.43,52021.2
277,GWI_SATELLITE N,653643.57,15623.2
278,GWI_SATELLITE S,552272.98,13200.3
279,GWI_SUGARLOAF E,30364.05,725.8
280,GWI_SUGARLOAF S,4416529.71,105562.6
281,GWI_SUGARLOAF W,6099636.26,145791.8
282,GWI_US-23,2157032.81,51556.8
283,GWI_US-29,16783025.93,401143.1
284,GWI_US-78,26706018.35,638319.7
285,HAL_GA-11,1712938.18,40942.2
286,HAL_GA-13 N,1084041.5,25910.5
287,HAL_GA-13 S,444508.95,10624.5
288,HAL_GA-211,6030068.65,144129.0
289,HAL_GA-284,5152.02,123.1
290,HAL_GA-347,693646.28,16579.3
291,HAL_GA-369,421721.35,10079.9
292,HAL_GA-53,1020639.19,24395.0
293,HAL_GA-60 N,100651.62,2405.7
294,HAL_GA-60 S,765488.01,18296.5
295,HAL_I-985 N,1268938.57,30329.8
296,HAL_I-985 S,3699000.03,88412.4
297,HAL_JESSE,942487.44,22527.1
298,HAL_MCEVER,418572.5,10004.6
299,HAL_SPROUT SPRINGS,334146.93,7986.7
300,HAL_US-129 N,169499.15,4051.3
301,HAL_US-129 S,454944.75,10874.0
302,HAL_US-23,431805.98,10320.9
303,HAL_WINDER,234776.59,5611.6
304,HEN_GA-138,236570.91,5654.5
305,HEN_GA-155,303253.99,7248.3
306,HEN_GA-20,5662663.72,135347.4
307,HEN_GA-81,1135856.38,27148.9
308,HEN_GA-81 W,579542.13,13852.1
309,HEN_I-75 MAG,8161089.18,195064.0
310,HEN_I-75 N,91308153.5,2182421.6
311,HEN_I-75 S,43750647.49,1045715.6
312,HEN_JACKSON,-999.0,-999.0
313,HEN_JONESBORO,2501859.55,59798.7
314,HEN_MCDONOUGH,8740429.26,208911.3
315,HEN_PANOLA,115739.06,2766.4
316,HEN_US-19,22313251.32,533325.0
317,HEN_US-23 N,1484123.49,35473.1
318,HEN_US-23 S,5068151.23,121137.5
319,NEW_GA-11,97821.34,2338.1
320,NEW_GA-138,1420713.15,33957.5
321,NEW_GA-142,437052.16,10446.3
322,NEW_GA-162 N,3937890.39,94122.3
323,NEW_GA-162 S,25326.14,605.3
324,NEW_GA-20,300097.4,7172.8
325,NEW_GA-212,85418.72,2041.7
326,NEW_GA-36,64155.2,1533.4
327,NEW_GA-81 N,293915.07,7025.1
328,NEW_GA-81 S,70427.5,1683.3
329,NEW_US-278,1289174.27,30813.5
330,PAU_GA-120 CONN,40756.42,974.1
331,PAU_GA-120 E,8056485.92,192563.8
332,PAU_GA-120 W,133229.51,3184.4
333,PAU_GA-61 N,143650.16,3433.5
334,PAU_GA-61 S,1002556.86,23962.8
335,PAU_GA-92,1881871.95,44980.0
336,PAU_US-278,9486134.83,226734.9
337,ROC_GA-138,1629501.77,38947.9
338,ROC_GA-155,192967.59,4612.3
339,ROC_GA-162,373395.6,8924.8
340,ROC_GA-20,2115560.39,50565.5
341,ROC_GREEN,32323.57,772.6
342,ROC_I-20,4095636.32,97892.7
343,ROC_LOGANVILLE,7337.73,175.4
344,SPA_GA-155,247281.08,5910.4
345,SPA_GA-16,165695.44,3960.4
346,SPA_GA-3,2587448.4,61844.5
347,SPA_GA-92,3597.25,86.0
348,SPA_MCINTOSH,30461.89,728.1
349,SPA_NEWNAN,33924.35,810.9
350,SPA_US-19,7706.06,184.2
351,SPA_US-41,18881.3,451.3
352,WAL_CHARLES,1381562.99,33021.7
353,WAL_GA-10,7937263.33,189714.2
354,WAL_GA-11,193349.66,4621.4
355,WAL_GA-138,351250.07,8395.5
356,WAL_GA-20,122137.57,2919.3
357,WAL_GA-81,655437.89,15666.1
358,WAL_I-20,2407024.04,57532.0
359,WAL_US-78,15558.57,371.9
